River,Year,Number of Trolleys
Avon (New Cut),2005,8
Avon (New Cut),2007,19
Avon (New Cut),2008,11
Avon (New Cut),2009,13
Avon (New Cut),2010,22
Avon (New Cut),2011,6
Avon (Temple Meads-Conham),2005,8
Avon (Temple Meads-Conham),2007,13
Avon (Temple Meads-Conham),2008,11
Avon (Temple Meads-Conham),2009,0
Avon (Temple Meads-Conham),2010,8
Avon (Temple Meads-Conham),2011,1
Avon West,2005,
Avon West,2007,
Avon West,2008,
Avon West,2009,11
Avon West,2010,5
Avon West,2011,4
Begbrook,2005,0
Begbrook,2007,1
Begbrook,2008,0
Begbrook,2009,0
Begbrook,2010,0
Begbrook,2011,0
Boiling Wells,2005,0
Boiling Wells,2007,0
Boiling Wells,2008,0
Boiling Wells,2009,0
Boiling Wells,2010,0
Boiling Wells,2011,0
Brislington Brook,2005,69
Brislington Brook,2007,58
Brislington Brook,2008,22
Brislington Brook,2009,20
Brislington Brook,2010,11
Brislington Brook,2011,9
Colliters Brook,2005,1
Colliters Brook,2007,2
Colliters Brook,2008,0
Colliters Brook,2009,0
Colliters Brook,2010,0
Colliters Brook,2011,3
Coombe Brook,2005,1
Coombe Brook,2007,2
Coombe Brook,2008,0
Coombe Brook,2009,0
Coombe Brook,2010,0
Coombe Brook,2011,0
Cranbrook,2005,1
Cranbrook,2007,0
Cranbrook,2008,0
Cranbrook,2009,0
Cranbrook,2010,0
Cranbrook,2011,0
Fishponds Brook,2005,4
Fishponds Brook,2007,2
Fishponds Brook,2008,3
Fishponds Brook,2009,0
Fishponds Brook,2010,0
Fishponds Brook,2011,0
Floating Harbour,2005,1
Floating Harbour,2007,0
Floating Harbour,2008,0
Floating Harbour,2009,0
Floating Harbour,2010,0
Floating Harbour,2011,0
Frome,2005,8
Frome,2007,51
Frome,2008,48
Frome,2009,87
Frome,2010,62
Frome,2011,14
Hazel Brook,2005,9
Hazel Brook,2007,2
Hazel Brook,2008,4
Hazel Brook,2009,2
Hazel Brook,2010,2
Hazel Brook,2011,9
Henry Sleed Stream,2005,0
Henry Sleed Stream,2007,0
Henry Sleed Stream,2008,0
Henry Sleed Stream,2009,1
Henry Sleed Stream,2010,0
Henry Sleed Stream,2011,0
Horfield Brook,2005,7
Horfield Brook,2007,3
Horfield Brook,2008,4
Horfield Brook,2009,1
Horfield Brook,2010,1
Horfield Brook,2011,0
Malago,2005,20
Malago,2007,4
Malago,2008,8
Malago,2009,3
Malago,2010,1
Malago,2011,3
Pigeonhouse stream,2005,15
Pigeonhouse stream,2007,2
Pigeonhouse stream,2008,5
Pigeonhouse stream,2009,17
Pigeonhouse stream,2010,1
Pigeonhouse stream,2011,4
Trym,2005,1
Trym,2007,2
Trym,2008,0
Trym,2009,2
Trym,2010,0
Trym,2011,1
